10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.analytics.client.dll (Sitecore Buckets, 1.0.0 rev. 150612)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.analytics.dll (Sitecore Buckets, 1.0.0 rev. 150612)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.client.dll (Sitecore Buckets, 1.0.0 rev. 150612)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.dll (Sitecore Buckets, Sitecore CMS Search, 1.0.0 rev. 150612)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.linq.dll (Sitecore Buckets, Sitecore CMS Search, 1.0.0 rev. 150612)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.linq.lucene.dll (Sitecore Buckets, 1.0.0 rev. 150612)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.linq.solr.dll (Sitecore Buckets, 1.0.0 rev. 151113)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.luceneprovider.dll (Sitecore Buckets, Sitecore CMS Search, 1.0.0 rev. 150612)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.solrprovider.castlewindsorintegration.dll (Sitecore Buckets, 1.0.0 rev. 151113)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contentsearch.solrprovider.dll (Sitecore Buckets, 1.0.0 rev. 151113)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contenttesting.dll (Sitecore CMS)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contenttesting.intelligence.dll (Sitecore CMS)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.contenttesting.mvc.dll (Sitecore CMS)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.controlpanel.dll (Sitecore Speak Applications, 1.3.1 rev. 150529)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceanalytics.client.dll (Sitecore Experience Analytics, 1.0.2 rev. 150618)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceanalytics.dll (Sitecore Experience Analytics, 1.0.2 rev. 150618)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceeditor.dll (Sitecore Experience Editor, 1.0.0 rev. 150406)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceeditor.speak.dll (Sitecore Experience Editor, 1.0.0 rev. 150406)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceeditor.speak.ribbon.dll (Sitecore Experience Editor, 1.0.0 rev. 150406)
10140 20:55:45 INFO  c:\inetpub\wwwroot\trainingsitecore\website\bin\sitecore.experienceexplorer.business.dll (Sitecore.ExperienceExplorer.Business, 1.0.0.0 rev. 0)
